Filename Index Temperature Position
/camera/camera/M_13/lights/M_13_Light_Optolong_UVIR_60_secs_2023-05-02T23-51-48_0053.fits 50 8.44 25336
/camera/camera/M_13/lights/M_13_Light_Optolong_UVIR_60_secs_2023-05-02T23-52-52_0054.fits 51 8.44 25336
/camera/camera/M_13/lights/M_13_Light_Optolong_UVIR_60_secs_2023-05-02T23-53-57_0055.fits 52 8.44 25336
/camera/camera/M_13/lights/M_13_Light_Optolong_UVIR_60_secs_2023-05-02T23-55-10_0056.fits 53 8.44 25336
/camera/camera/M_13/lights/M_13_Light_Optolong_UVIR_60_secs_2023-05-02T23-56-15_0057.fits 54 8.44 25336
/camera/camera/M_13/lights/M_13_Light_Optolong_UVIR_60_secs_2023-05-02T23-57-19_0058.fits 55 8.33 25336
/camera/camera/M_13/lights/M_13_Light_Optolong_UVIR_60_secs_2023-05-02T23-58-33_0059.fits 56 8.33 25336
/camera/camera/M_13/lights/M_13_Light_Optolong_UVIR_60_secs_2023-05-02T23-59-42_0060.fits 57 8.33 25336
/camera/camera/M_13/lights/M_13_Light_Optolong_UVIR_60_secs_2023-05-03T00-00-47_0061.fits 58 8.33 25336
/camera/camera/M_13/lights/M_13_Light_Optolong_UVIR_60_secs_2023-05-03T00-02-00_0062.fits 59 8.33 25336
/camera/camera/M_13/lights/M_13_Light_Optolong_UVIR_60_secs_2023-05-03T00-03-04_0063.fits 60 8.33 25336
/camera/camera/M_13/lights/M_13_Light_Optolong_UVIR_60_secs_2023-05-03T00-04-09_0064.fits 61 8.23 25336
/camera/camera/M_13/lights/M_13_Light_Optolong_UVIR_60_secs_2023-05-03T00-05-22_0065.fits 62 8.33 25336
/camera/camera/M_13/lights/M_13_Light_Optolong_UVIR_60_secs_2023-05-03T00-06-29_0066.fits 63 8.33 25336
/camera/camera/M_13/lights/M_13_Light_Optolong_UVIR_60_secs_2023-05-03T00-07-35_0067.fits 64 8.23 25336
/camera/camera/M_13/lights/M_13_Light_Optolong_UVIR_60_secs_2023-05-03T00-08-49_0068.fits 65 8.23 25336
/camera/camera/M_13/lights/M_13_Light_Optolong_UVIR_60_secs_2023-05-03T00-09-56_0069.fits 66 8.23 25336
/camera/camera/M_13/lights/M_13_Light_Optolong_UVIR_60_secs_2023-05-03T00-11-00_0070.fits 67 8.11 25336
/camera/camera/M_13/lights/M_13_Light_Optolong_UVIR_60_secs_2023-05-03T00-12-13_0071.fits 68 8.11 25336
/camera/camera/M_13/lights/M_13_Light_Optolong_UVIR_60_secs_2023-05-03T00-13-17_0072.fits 69 8.11 25336
/camera/camera/M_13/lights/M_13_Light_Optolong_UVIR_60_secs_2023-05-03T00-14-22_0073.fits 70 8.11 25336
/camera/camera/M_13/lights/M_13_Light_Optolong_UVIR_60_secs_2023-05-03T00-15-35_0074.fits 71 8.11 25336
/camera/camera/M_13/lights/M_13_Light_Optolong_UVIR_60_secs_2023-05-03T00-16-38_0075.fits 72 8.11 25336
/camera/camera/M_13/lights/M_13_Light_Optolong_UVIR_60_secs_2023-05-03T00-17-43_0076.fits 73 8.11 25336
/camera/camera/M_13/lights/M_13_Light_Optolong_UVIR_60_secs_2023-05-03T00-18-57_0077.fits 74 8.11 25336
