filename,index,temperature,position
/camera/camera/M_101/lights/M_101_Light_Optolong_UVIR_60_secs_2023-05-23T23-32-56_0003.fits,1,10.17,25206
/camera/camera/M_101/lights/M_101_Light_Optolong_UVIR_60_secs_2023-05-23T23-34-02_0004.fits,2,10.07,25206
/camera/camera/M_101/lights/M_101_Light_Optolong_UVIR_60_secs_2023-05-23T23-35-07_0005.fits,3,10.07,25206
/camera/camera/M_101/lights/M_101_Light_Optolong_UVIR_60_secs_2023-05-23T23-36-23_0006.fits,4,10.07,25206
/camera/camera/M_101/lights/M_101_Light_Optolong_UVIR_60_secs_2023-05-23T23-37-28_0007.fits,5,10.07,25206
/camera/camera/M_101/lights/M_101_Light_Optolong_UVIR_60_secs_2023-05-23T23-38-33_0008.fits,6,10.07,25206
/camera/camera/M_101/lights/M_101_Light_Optolong_UVIR_60_secs_2023-05-23T23-39-50_0009.fits,7,9.96,25206
/camera/camera/M_101/lights/M_101_Light_Optolong_UVIR_60_secs_2023-05-23T23-40-54_0010.fits,8,9.96,25206
/camera/camera/M_101/lights/M_101_Light_Optolong_UVIR_60_secs_2023-05-23T23-42-51_0011.fits,9,9.86,25206
/camera/camera/M_101/lights/M_101_Light_Optolong_UVIR_60_secs_2023-05-23T23-44-05_0012.fits,10,9.75,25188
/camera/camera/M_101/lights/M_101_Light_Optolong_UVIR_60_secs_2023-05-23T23-45-12_0013.fits,11,9.75,25188
/camera/camera/M_101/lights/M_101_Light_Optolong_UVIR_60_secs_2023-05-23T23-46-17_0014.fits,12,9.75,25188
/camera/camera/M_101/lights/M_101_Light_Optolong_UVIR_60_secs_2023-05-23T23-47-31_0015.fits,13,9.85,25188
/camera/camera/M_101/lights/M_101_Light_Optolong_UVIR_60_secs_2023-05-23T23-48-36_0016.fits,14,9.85,25188
/camera/camera/M_101/lights/M_101_Light_Optolong_UVIR_60_secs_2023-05-23T23-49-48_0017.fits,15,9.85,25188
/camera/camera/M_101/lights/M_101_Light_Optolong_UVIR_60_secs_2023-05-23T23-51-01_0018.fits,16,9.85,25188
/camera/camera/M_101/lights/M_101_Light_Optolong_UVIR_60_secs_2023-05-23T23-52-05_0019.fits,17,9.85,25188
/camera/camera/M_101/lights/M_101_Light_Optolong_UVIR_60_secs_2023-05-23T23-53-10_0020.fits,18,9.85,25188
/camera/camera/M_101/lights/M_101_Light_Optolong_UVIR_60_secs_2023-05-23T23-54-25_0021.fits,19,9.85,25188
/camera/camera/M_101/lights/M_101_Light_Optolong_UVIR_60_secs_2023-05-23T23-55-32_0022.fits,20,9.85,25188
/camera/camera/M_101/lights/M_101_Light_Optolong_UVIR_60_secs_2023-05-23T23-56-37_0023.fits,21,9.85,25188
/camera/camera/M_101/lights/M_101_Light_Optolong_UVIR_60_secs_2023-05-23T23-57-50_0024.fits,22,9.85,25188
/camera/camera/M_101/lights/M_101_Light_Optolong_UVIR_60_secs_2023-05-23T23-58-57_0025.fits,23,9.85,25188
/camera/camera/M_101/lights/M_101_Light_Optolong_UVIR_60_secs_2023-05-24T00-00-02_0026.fits,24,9.85,25188
