filename,index,temperature,position
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-16T23-33-51_0048.fits,48,9.68,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-16T23-34-58_0049.fits,49,9.68,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-16T23-36-02_0050.fits,50,9.58,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-16T23-37-16_0051.fits,51,9.58,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-16T23-38-20_0052.fits,52,9.48,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-16T23-39-27_0053.fits,53,9.48,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-16T23-40-40_0054.fits,54,9.48,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-16T23-41-46_0055.fits,55,9.48,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-16T23-42-51_0056.fits,56,9.48,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-16T23-44-05_0057.fits,57,9.58,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-16T23-45-12_0058.fits,58,9.58,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-16T23-46-16_0059.fits,59,9.58,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-16T23-47-29_0060.fits,60,9.58,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-16T23-48-37_0061.fits,61,9.58,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-16T23-49-53_0062.fits,62,9.58,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-16T23-51-07_0063.fits,63,9.58,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-16T23-52-11_0064.fits,64,9.58,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-16T23-53-17_0065.fits,65,9.58,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-16T23-54-32_0066.fits,66,9.58,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-16T23-55-39_0067.fits,67,9.58,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-16T23-56-46_0068.fits,68,9.58,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-16T23-58-01_0069.fits,69,9.48,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-16T23-59-07_0070.fits,70,9.48,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-00-12_0071.fits,71,9.48,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-01-25_0072.fits,72,9.48,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-02-30_0073.fits,73,9.48,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-03-35_0074.fits,74,9.48,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-04-48_0075.fits,75,9.48,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-05-52_0076.fits,76,9.48,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-06-58_0077.fits,77,9.48,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-08-12_0078.fits,78,9.48,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-09-18_0079.fits,79,9.48,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-10-24_0080.fits,80,9.48,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-11-38_0081.fits,81,9.48,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-12-45_0082.fits,82,9.48,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-13-50_0083.fits,83,9.48,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-15-07_0084.fits,84,9.48,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-16-14_0085.fits,85,9.37,25257
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-17-29_0086.fits,86,9.37,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-18-43_0087.fits,87,9.37,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-19-47_0088.fits,88,9.37,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-20-56_0089.fits,89,9.26,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-22-09_0090.fits,90,9.26,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-23-15_0091.fits,91,9.26,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-24-20_0092.fits,92,9.26,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-25-39_0093.fits,93,9.26,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-26-55_0094.fits,94,9.37,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-28-02_0095.fits,95,9.37,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-29-17_0096.fits,96,9.37,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-30-21_0097.fits,97,9.37,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-31-28_0098.fits,98,9.37,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-32-43_0099.fits,99,9.37,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-33-48_0100.fits,100,9.37,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-34-54_0101.fits,101,9.37,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-36-06_0102.fits,102,9.37,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-37-12_0103.fits,103,9.37,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-38-19_0104.fits,104,9.26,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-39-31_0105.fits,105,9.26,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-40-36_0106.fits,106,9.26,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-41-42_0107.fits,107,9.26,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-42-56_0108.fits,108,9.26,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-44-00_0109.fits,109,9.26,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-45-07_0110.fits,110,9.16,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-46-18_0111.fits,111,9.26,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-47-29_0112.fits,112,9.26,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-48-34_0113.fits,113,9.26,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-49-47_0114.fits,114,9.15,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-50-51_0115.fits,115,9.25,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-51-57_0116.fits,116,9.25,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-53-11_0117.fits,117,9.15,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-54-18_0118.fits,118,9.03,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-55-22_0119.fits,119,8.92,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-56-39_0120.fits,120,8.92,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-57-46_0121.fits,121,8.92,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T00-58-51_0122.fits,122,8.92,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-00-07_0123.fits,123,8.92,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-01-14_0124.fits,124,9.02,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-02-18_0125.fits,125,9.02,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-03-31_0126.fits,126,9.05,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-04-49_0127.fits,127,9.16,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-06-02_0128.fits,128,9.16,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-07-15_0129.fits,129,9.16,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-08-19_0130.fits,130,9.05,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-09-26_0131.fits,131,8.95,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-10-44_0132.fits,132,9.05,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-11-49_0133.fits,133,9.05,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-12-56_0134.fits,134,8.95,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-14-16_0135.fits,135,8.95,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-15-19_0136.fits,136,8.95,25239
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-16-30_0137.fits,137,8.84,25221
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-17-46_0138.fits,138,8.73,25221
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-18-53_0139.fits,139,8.73,25221
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-20-07_0140.fits,140,8.73,25221
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-21-19_0141.fits,141,8.84,25221
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-22-35_0142.fits,142,8.74,25221
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-23-46_0143.fits,143,8.74,25221
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-24-59_0144.fits,144,8.74,25221
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-26-43_0145.fits,145,8.84,25221
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-31-50_0146.fits,146,8.84,25221
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-33-16_0147.fits,147,8.84,25221
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-35-43_0148.fits,148,8.84,25221
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-39-29_0149.fits,149,8.95,25221
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-40-43_0150.fits,150,8.95,25221
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-41-47_0151.fits,151,8.95,25221
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-43-41_0152.fits,152,8.95,25221
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T01-44-59_0153.fits,153,8.84,25221
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T02-22-17_0177.fits,154,8.86,25221
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T02-24-26_0179.fits,155,8.86,25221
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T02-25-40_0180.fits,156,8.96,25221
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T02-27-00_0181.fits,157,8.96,25221
/camera/camera/M_102/lights/NGC_5866_Light_Optolong_UVIR_60_secs_2023-05-17T02-28-13_0182.fits,158,8.96,25221
